"instrumento","fabricante_categoria","arquivo","caminho","tamanho_bytes","sha256","entradas","wav","outros"
"Guitarra","faIR","Post Grunge.zip","downloads\arquivos\Por modelo\Guitarra\faIR\Post Grunge.zip","1806036","A2DDF5E94A8707BFDFBAB6CEB6255F3FB38197E41A64875B259CFFAE184F2AC7","27","27","0"
"Guitarra","Fender","Combos e gabinetes Fender.zip","downloads\arquivos\Por modelo\Guitarra\Fender\Combos e gabinetes Fender.zip","2046795","2E0A1F490D233422C0B8DEA519CA1AB52C5431D19498C2E0255AE095E0EA2B34","117","117","0"
"Guitarra","Line 6","Vetta Cabinet.zip","downloads\arquivos\Por modelo\Guitarra\Line 6\Vetta Cabinet.zip","909081","EE06B22F1A06E34C18A6502458C8E5771EBCA334EF6E71068B426E51C92E2283","35","35","0"
"Guitarra","Marshall","1960A G12M - Fractal.zip","downloads\arquivos\Por modelo\Guitarra\Marshall\1960A G12M - Fractal.zip","4571556","F60AEC3A64B3D53546170F86ED72FEA240FB66D0EA471D6D2903A175A0C76D2D","749","1","748"
"Guitarra","Marshall","JCM2000.zip","downloads\arquivos\Por modelo\Guitarra\Marshall\JCM2000.zip","73291","566794AFDA84C44AC690284A95894A15C3B7655D9931C38EEC413D6B4E8B535C","2","2","0"
"Guitarra","Marshall","JCM900.zip","downloads\arquivos\Por modelo\Guitarra\Marshall\JCM900.zip","107781","45A6372C3051A466B929A4B9AF17B0926B134973E68502F4EED000B6C4015B3E","9","9","0"
"Guitarra","Marshall","Outras coleções 1960A.zip","downloads\arquivos\Por modelo\Guitarra\Marshall\Outras coleções 1960A.zip","7017607","E12DC78CBC3D28B808C85C71700EBFB8E244AF6DAB3F8C99AD117165CF1E3E5E","72","72","0"
"Guitarra","Marshall","Plexi 1960A T75.zip","downloads\arquivos\Por modelo\Guitarra\Marshall\Plexi 1960A T75.zip","1651244","E5B0203B7A9D32F52BF4B9948EF893EBA5502CF808E1DB3E4A7C4E94CDE6C19C","35","35","0"
"Guitarra","Mesa-Boogie","Rectifier e V30.zip","downloads\arquivos\Por modelo\Guitarra\Mesa-Boogie\Rectifier e V30.zip","3718613","7DEB31630E4342D2D70A697E30FA0381C0199A19640AC22136C6856916108483","126","126","0"
"Guitarra","Outras coleções","1- Top 8 IR Pack.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\1- Top 8 IR Pack.zip","55062","6DF26B0F8D7F6DD1E2CAB647649BA234F4E3BD9762B3DCCB8711933EC845FEC9","3","3","0"
"Guitarra","Outras coleções","2- Top 7 IR Pack.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\2- Top 7 IR Pack.zip","24015","DAAC595B4FD4FF08127E4D77495A654C9A6AD715EF7192E9C0E85932C7642EEB","3","3","0"
"Guitarra","Outras coleções","AEmpulses_v1.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\AEmpulses_v1.zip","4489030","0990B19ADB285BD48C7653CF8FC9BA11847CE473A1FE45DDD820878EBA216B85","47","47","0"
"Guitarra","Outras coleções","Allston.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Allston.zip","13358","FAE486D008BE92B3D20B1EE2BA20AEF25B04D94F1BEADAEAAAD261258ADC787D","3","3","0"
"Guitarra","Outras coleções","Bachatta IR.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Bachatta IR.zip","175090","6C157404ADD3EEF2C59A25BE1C93EB5DA5362797C510EDD3592F7F899F81DBAB","1","1","0"
"Guitarra","Outras coleções","Behringer Ultra-G.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Behringer Ultra-G.zip","726749","0D5D16E267269F5550008F6CB491193496CDB981B8A718F46285247DBC2B39BC","1","1","0"
"Guitarra","Outras coleções","BestpluginsIrPack1.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack1.zip","328956","A6A7B4CC7A1610F54851B52024969D24EF1055534E4C22BD6490D4EF69D43A97","44","44","0"
"Guitarra","Outras coleções","BestpluginsIrPack2.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack2.zip","167169","76A7271348FED526A830367774B0E13E441F8351081BD31FE7C8EC0CAE7C021E","17","17","0"
"Guitarra","Outras coleções","BestpluginsIRPack3.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack3.zip","230496","557E621984DA058D49438F329A9EBF234F7856F6FEFCE33D85925C0F7324A8BD","26","26","0"
"Guitarra","Outras coleções","BestpluginsIRPack4.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack4.zip","461114","C4C1B7107D11A065D368F38F97A5325854E6145A402BEDEB6D6A46A3C4B9D517","34","34","0"
"Guitarra","Outras coleções","BestpluginsIRPack5.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack5.zip","402197","8ECEAEF9BD095C683AE5870C8F02A884BAE95E47B0C8AC36875809B341C57016","32","32","0"
"Guitarra","Outras coleções","Boxboro.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Boxboro.zip","10508","3206C6A1C5C8FA76F9676572B1349515CFF4CA66244FC7D4D213A67028BCE535","3","3","0"
"Guitarra","Outras coleções","Brighton.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brighton.zip","2135","60C69E1FCC29458AA7507C9D62D805658CA7AB642E7BAE5FED2DBE5E862C9F8E","1","1","0"
"Guitarra","Outras coleções","Brockton.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brockton.zip","8192","2D4CF1B9ACA245F8B7CEA1A83221D65AE3C1AFA42CFE4525DAAA29D4654779DA","2","2","0"
"Guitarra","Outras coleções","Cambridge.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Cambridge.zip","8045","859B8F4389721B93B624B1D73886706CE7D80775EEA70D402D14B10E626FFE68","2","2","0"
"Guitarra","Outras coleções","Canton.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Canton.zip","4463","5B9234818672457E1F4B05EC97114E59710FBF0549A0CF8FA8065BC8333F29FE","1","1","0"
"Guitarra","Outras coleções","Catharsis Fredman Impulses.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Catharsis Fredman Impulses.zip","28492","2AAAB87BEEB4603B6F6675C52948B18ED444C3102F623EBFA0183D307DC81F0D","9","9","0"
"Guitarra","Outras coleções","Chelsea.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Chelsea.zip","8646","C42CDEBDF25785E8BB2AFDA97F7C905C2CF3503B47887ED13623C28DA4E9B369","2","2","0"
"Guitarra","Outras coleções","Electrovoice 12.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 12.zip","100525","8D0DC3BA73548504804AAF805455BE3B3C6DB4CF77D42FB5ADF2EB23693B5005","3","3","0"
"Guitarra","Outras coleções","Electrovoice 4x12.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 4x12.zip","40516","A8B4716B5B1FD7784B6A0915E587342AB9DEDC1A599CE2F842BC216C12905A4A","2","2","0"
"Guitarra","Outras coleções","Fearcomplexmusic Impulses.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fearcomplexmusic Impulses.zip","195178","C01FF41DC1397EB8BB74F7C693E1228931E677F7B3F1784184EAE657DE74DB55","3","3","0"
"Guitarra","Outras coleções","Fredman-Impulses.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fredman-Impulses.zip","414077","38C512A9D2E6ED2B385CAEEE90271CF3338EA495C8DB2EB658306C17DBCC951B","3","3","0"
"Guitarra","Outras coleções","Grafton.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Grafton.zip","15046","514E6372E7012DA1A799C43A2A831BD0604CF4BD331C97B2CE4D05067ABB070B","3","3","0"
