"instrumento","arquivo_zip","arquivo_interno","extensao","tamanho_descompactado_bytes"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic B5 Left A 230 200 320.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic B5 Right A 230 200 320.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic SM57 A 0 20 1.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic SE4400a B 0 20 7.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic D6 B 24 30 -61.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic Gemini 5 A 0 95 123.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic BD300 B 22 32 -61.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic D11L HL A 1 42 24.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic NT1-A A 22 5 16.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Ampeg Classic/Ampeg Classic SM57 A 0 30 1.wav",".wav","38644"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_SM57-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_R121-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_R121-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_R121-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_SM57-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_R121-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_R121-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_R121-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_SM57-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_MD421-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_MD421-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_MD421-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_R121-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_SM57-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_R121-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_SM57-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_SM57-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGV9-API_R121-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_MD421-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_MD421-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_MD421-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_MD421-2.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGBT25-API_MD421-1.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/AMPEG American/AMPGSVT410-API_MD421-3.wav",".wav","28880"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_u87.wav",".wav","16254"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_tlm170-2.wav",".wav","16240"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_beta52.wav",".wav","16344"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_tlm170-1.wav",".wav","16126"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_M69N.wav",".wav","15966"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_sm7.wav",".wav","16332"
