"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Guitarhack Impulses.zip","360925","360925","137F38FED5906BC5D43059F76AA7088DF94D4541E03B299F2D7AEA39DC193487","137F38FED5906BC5D43059F76AA7088DF94D4541E03B299F2D7AEA39DC193487","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\GuitarHacksImpulses.zip","810478","810478","EEBB675F1D5796219836200680FDE08DBC479DF385C34CBB0D80F0817DD82B24","EEBB675F1D5796219836200680FDE08DBC479DF385C34CBB0D80F0817DD82B24","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Hannover.zip","8887","8887","C8D4ABDCC8F54BE4A867299FF4BEF2BAD5F16E55254407E42D0DFFDFE1E5CD07","C8D4ABDCC8F54BE4A867299FF4BEF2BAD5F16E55254407E42D0DFFDFE1E5CD07","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Harvard.zip","9105","9105","D54878383DD0459CC3F550BA809F9D72773253332519CCB5E52BD8D4FBFF1ED0","D54878383DD0459CC3F550BA809F9D72773253332519CCB5E52BD8D4FBFF1ED0","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\IR Clean forró.zip","14565","14565","6AE3D195558F1196E5FC5C16BEC439F3F81CFAF35915C6AAC25F73F3E90E0DED","6AE3D195558F1196E5FC5C16BEC439F3F81CFAF35915C6AAC25F73F3E90E0DED","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Jensen 10 inch.zip","166430","166430","5A3315FD9E903833C979596898A55D70BF66A65314631266AA882BAA521F17BB","5A3315FD9E903833C979596898A55D70BF66A65314631266AA882BAA521F17BB","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Kalthallen IRs.zip","1291944","1291944","2EBC9E57D3F44B8607206943472B6DFA255DD52F2652F0DB46FFC97CA0663E9B","2EBC9E57D3F44B8607206943472B6DFA255DD52F2652F0DB46FFC97CA0663E9B","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Leicester.zip","11902","11902","CE8284D56E3638EEB4341011D4C4F5820649A14293E2995E8C6D06181C31CA2E","CE8284D56E3638EEB4341011D4C4F5820649A14293E2995E8C6D06181C31CA2E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Lincoln.zip","5593","5593","8CFB3EF3ACF6E6778207D228F667047CCCB7A58C31EB2CE58FB979F14308429E","8CFB3EF3ACF6E6778207D228F667047CCCB7A58C31EB2CE58FB979F14308429E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Mansfield.zip","12943","12943","1FB3F0B0B915F0A630E4C5241002285318596B9A8C94ABB7AF19ED6F0A2D3418","1FB3F0B0B915F0A630E4C5241002285318596B9A8C94ABB7AF19ED6F0A2D3418","inalterado"
