"id","produto","categoria","catalogo_local","arquivo","bytes","sha256","url_manual","url_produto","status","erro"
"pocket-amp","POCKET AMP","multi","true","pdf/multi/022-pocket-amp.pdf","1268867","68ef81e33eaa574d1dd95fd1f87620db672934954cc846553477ddb38a531aee","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/SK17-Pocket-amp.pdf","https://www.m-vave.com/product.html?id=pocket-amp","downloaded",""
"pocket-combo","POCKET COMBO","speaker","false","pdf/speaker/023-pocket-combo.pdf","990106","4116bc5eebb236be4c5b7ba3c627a876fb62981def00a20b2ab9fa45964fba17","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/ODM/Pocket-CAB.pdf","https://www.m-vave.com/product.html?id=pocket-combo","downloaded",""
"smk25-mini","SMK25 Mini","midi","true","pdf/midi/024-smk25-mini.pdf","923156","9316a52a82ad817af8a7f726e6ed2322aa76bc4a8ae2cba233acc8ef4f882f5f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMK-25-MINI.pdf","https://www.m-vave.com/product.html?id=smk25-mini","downloaded",""
"smc-pad-pocket","SMC-PAD Pocket","midi","true","pdf/midi/025-smc-pad-pocket.pdf","483139","69c7e2acba00d0062854e44d10d8780232d3712b99576a1a57eed22906108298","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MIDI-KEYBOARD/SMC-PAD-POCKET.pdf","https://www.m-vave.com/product.html?id=smc-pad-pocket","downloaded",""
"cube-baby","CUBE BABY","multi","true","pdf/multi/026-cube-baby.pdf","1308277","2468461084e089cec8ae63215374e418ff682bafd4f5fb65ef37e989d1b5857b","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/CUBE-BABY.pdf","https://www.m-vave.com/product.html?id=cube-baby","downloaded",""
"mini-x","MINI-X","multi","true","pdf/multi/027-mini-x.pdf","620079","a2bd0958cec88a38e19ccb67278d6b3e1ffe570ce35d66db4dbb08d3877d553b","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/MINI-X.pdf","https://www.m-vave.com/product.html?id=mini-x","downloaded",""
"sp100","SP100","multi","false","pdf/multi/028-sp100.pdf","1472170","184a4a127c24d22abd075ab10a92aece2952138cd9fb516fad3ed48f696d6d4e","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/SP100/SP100.pdf","https://www.m-vave.com/product.html?id=sp100","downloaded",""
"mk-20","MK-20","multi","true","pdf/multi/029-mk-20.pdf","1218694","cb2521e8ea64894ef35a2e1f7ffcce00c909a07bcb6512bd31f95eb338229b37","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/MK-20.pdf","https://www.m-vave.com/product.html?id=mk-20","downloaded",""
"annblack-box","ANNBLACK BOX","multi","true","pdf/multi/030-annblack-box.pdf","773332","65f1177f525b166045ed529fdb85a8acbef8a50b8805b25fcf3e3e50ccc92d55","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/BLACKBOX.pdf","https://www.m-vave.com/product.html?id=annblack-box","downloaded",""
"tank-mini","TANK MINI","multi","true","pdf/multi/031-tank-mini.pdf","867008","4f49b7b2a9c9fe9d2f2cad3e337f697da677d9c14eb5f1fca0fe447870cfba96","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Combined-Effect-Pedals/TANK-MINI.pdf","https://www.m-vave.com/product.html?id=tank-mini","downloaded",""
"looper-drum","LOOPER DRUM","multi","true","pdf/multi/032-looper-drum.pdf","861497","aebc73961cd0a78db2f423688e32ec51d791c04d9228108355ea9f3061cf5581","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/DRUM-LOOPER-PEDAL/DRUM-LOOPER-PEDAL.pdf","https://www.m-vave.com/product.html?id=looper-drum","downloaded",""
"midi-system","MIDI SYSTEM","wireless","true","pdf/wireless/033-midi-system.pdf","577309","b7b8b7797731ad9969cbccd8cec5ed0f2d3777f86913d867903acabe6e69b35f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/MIDI-SYSTEM.pdf","https://www.m-vave.com/product.html?id=midi-system","downloaded",""
"sk7","SK7","wireless","false","pdf/wireless/034-sk7.pdf","303908","ae99af62f026abb53bb4c6c6f21f4be5c02562a5155bb44782a33003606c3537","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/SK7.pdf","https://www.m-vave.com/product.html?id=sk7","downloaded",""
"wireless-earphone","WP-12","wireless","false","pdf/wireless/035-wp-12.pdf","654452","70cb4f20aaf04fa16a788c4c76b73b2319ee4a6abbf1d7b7e828d2d15a94c23e","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS12.pdf","https://www.m-vave.com/product.html?id=wireless-earphone","downloaded",""
"wp-13","WP-13","wireless","false","pdf/wireless/036-wp-13.pdf","515440","f68b9c0da4fadb10e29e256f20feaf7589533219b8282a25cab3565c4a92b0fc","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS13.pdf","https://www.m-vave.com/product.html?id=wp-13","downloaded",""
"wp-7","WP-7","wireless","false","pdf/wireless/037-wp-7.pdf","348916","8c7fab1e653205e455d8015e8950dbf1a0cfa595b7c25417d07973aad33dc35f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WP-7.pdf","https://www.m-vave.com/product.html?id=wp-7","downloaded",""
"wireless-iem","WP-10","wireless","false","pdf/wireless/038-wp-10.pdf","869686","fab66ee93a751d87a6bbe8b69f3013f7cfd9937f669d728751704b2adc5de9bc","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS10.pdf","https://www.m-vave.com/product.html?id=wireless-iem","downloaded",""
"wp-8","WP-8","wireless","false","pdf/wireless/039-wp-8.pdf","1255038","3d28ee598239af2e83e1ebc05c640b9140a7e9202cc531270a2a96f12a4e92d4","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS8.pdf","https://www.m-vave.com/product.html?id=wp-8","downloaded",""
"wp-1","WP-1","wireless","false","pdf/wireless/040-wp-1.pdf","1220638","7bffca6a32cb28a5a8e5f38e227e0182d9190a9109dc9fff32a976ca46792998","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Wireless/WS1.pdf","https://www.m-vave.com/product.html?id=wp-1","downloaded",""
"tuner","TUNER","pedal","false","pdf/pedal/041-tuner.pdf","326131","1890909ecb8f8edf68283e6309763273cb0688b2db83e2c82268a476afd7cd56","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/Tuner.pdf","https://www.m-vave.com/product.html?id=tuner","downloaded",""
"ir-box","IR BOX","pedal","true","pdf/pedal/042-ir-box.pdf","514949","5dd5e5ec1cde62e4db3022a49f626ced2985f85530a9cdadac5c193c98fba9eb","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/IRBOX/IRBOX_ZE.pdf","https://www.m-vave.com/product.html?id=ir-box","downloaded",""
"elemental","ELEMENTAL","pedal","true","pdf/pedal/043-elemental.pdf","618831","957a3a28d9720ad2be134c8907a1428bb1fd865898a0fdbb183ba8ab569760ff","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/ELEMENTAL.pdf","https://www.m-vave.com/product.html?id=elemental","downloaded",""
"cube-turner-plus","CUBE TURNER PLUS","cat_control_pedals","true","pdf/cat-control-pedals/044-cube-turner-plus.pdf","496171","018c66e31634efc9360f853d22d6b223a2b9c9b5a24c370a399150ee858ecec6","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/CUBE-TURNER/Cube-Turner-plus.pdf","https://www.m-vave.com/product.html?id=cube-turner-plus","downloaded",""
"chocolate","Chocolate","cat_control_pedals","true","pdf/cat-control-pedals/045-chocolate.pdf","297663","7e57855b26630038c1b42485093f81a4a9e056ca813d3e46587656c5bb6ed69f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/CUBE-TURNER/Chotolate.pdf","https://www.m-vave.com/product.html?id=chocolate","downloaded",""
"pedal-power","PEDAL POWER","power","false","pdf/power/046-pedal-power.pdf","333505","042031f8a7c909f4aef39f95ab7c43fc9b58e7882a049482a9815c2c4f0485f5","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Pedal-Power-Supplies/PEDAL-POWER.pdf","https://www.m-vave.com/product.html?id=pedal-power","downloaded",""
"isolated-power","Isolated Power","power","false","pdf/power/047-isolated-power.pdf","217604","5b7e78d244d99c92eb440918a0879a1077778bc1dc20eb475a19329226372dc7","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/Pedal-Power-Supplies/Isolated-Power.pdf","https://www.m-vave.com/product.html?id=isolated-power","downloaded",""
"mini-amp","MINI-AMP","pedal","false","pdf/pedal/048-mini-amp.pdf","490741","a84d048e6ec8111e0c87a5ed86347b1c0e1b72ccf093559877628621cf816f8f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/MINI-AMP.pdf","https://www.m-vave.com/product.html?id=mini-amp","downloaded",""
"mini-efx","MINI-EFX","pedal","false","pdf/pedal/049-mini-efx.pdf","664958","8a43d61a8e908e361720bc31926b6ec5dac8fade1f1196e8422519c650c21f51","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/MINI-EFX.pdf","https://www.m-vave.com/product.html?id=mini-efx","downloaded",""
"aby-box","ABY-BOX","pedal","false","pdf/pedal/050-aby-box.pdf","345527","55b7a339a48ed47623576af468d04feb5a21afd19176d06c6fa8585ab52a0d31","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/ABY-CHANNEL-SWITCH.pdf","https://www.m-vave.com/product.html?id=aby-box","downloaded",""
"looper-plus","Looper PRO","pedal","true","pdf/pedal/051-looper-pro.pdf","958342","1216f4c20fb766856e310bfb3d82c09399cf3b14b42ef9f3b9ac37405940e45f","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/LOOPER-PRO.pdf","https://www.m-vave.com/product.html?id=looper-plus","downloaded",""
"tuner-v1","Precision Tuner","pedal","false","pdf/pedal/052-precision-tuner.pdf","453011","a7be52bc00f87858b23404fdd65c4f4efe1afb4cd552909c5a25a708d7228cd7","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/PRECISION-TUNER.pdf","https://www.m-vave.com/product.html?id=tuner-v1","downloaded",""
"booster","Booster","unavailable","false","pdf/unavailable/053-booster.pdf","822822","845a1f1d938a8df84dbec5864123add33b67e2b2c631a4d9ac1a168aa36bc0dd","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/BOOSTER.pdf","https://www.m-vave.com/product.html?id=booster","downloaded",""
"chorus","Chorus","pedal","false","pdf/pedal/054-chorus.pdf","822448","f5556e4169e68043c00c13d7a12c1e2cbb6fb0d5dde57b6770bbfa3c50ed6aa7","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/CHORUS.pdf","https://www.m-vave.com/product.html?id=chorus","downloaded",""
"dig-delay","DIG Delay","pedal","false","pdf/pedal/055-dig-delay.pdf","834833","057b509bfffae7d63baaf8b98d127451332da81145ef4632eab17b76575e09aa","https://manualf.oss-cn-hongkong.aliyuncs.com/manual/MINI-PEDAL/DIGITAL-DELAY.pdf","https://www.m-vave.com/product.html?id=dig-delay","downloaded",""
